,day_of_week,start_hour,start_station_id,start_station_longitude,start_station_latitude,ride_start_date
105,Fri,16,507,-73.97973776,40.73912601,2013-09-20
106,Mon,18,438,-73.98564945,40.72779126,2013-09-16
107,Mon,12,168,-73.99456405,40.73971301,2013-09-16
108,Fri,20,485,-73.98338988,40.75038009,2013-09-06
109,Tue,7,314,-73.99215922,40.69424674,2013-09-24
110,Sun,12,307,-73.98990025,40.71427487,2013-09-15
111,Tue,8,329,-74.01020609,40.72043411,2013-09-17
112,Sun,16,150,-73.98085795,40.7208736,2013-09-08
113,Thu,14,301,-73.98368779,40.72217444,2013-09-19
114,Wed,20,457,-73.98169333,40.76695317,2013-09-18
115,Wed,7,492,-73.99093085,40.75019995,2013-09-04
116,Fri,17,545,-73.97809472,40.736502,2013-09-20
117,Sat,18,496,-73.99238967,40.73726186,2013-09-28
118,Wed,15,537,-73.98409214,40.74025878,2013-09-18
119,Mon,16,173,-73.98442659,40.76064679,2013-09-30
120,Tue,7,406,-73.99595065,40.69512845,2013-09-17
121,Sat,19,285,-73.99074142,40.73454567,2013-09-21
122,Thu,17,435,-73.99415556,40.74173969,2013-09-19
123,Sun,21,401,-73.98997825,40.72019576,2013-09-08
124,Mon,12,120,-73.95928168,40.68676793,2013-09-23
125,Sun,12,483,-73.98889957,40.73223272,2013-09-15
126,Fri,21,515,-73.99461843,40.76009437,2013-09-06
127,Mon,19,290,-73.96478473,40.76020258,2013-09-23
128,Thu,22,402,-73.98955109,40.7403432,2013-09-26
129,Thu,21,477,-73.9900262,40.75640548,2013-09-19
130,Wed,13,336,-73.99906065,40.73047747,2013-09-18
131,Mon,19,294,-73.9957214,40.73049393,2013-09-16
132,Sat,9,508,-73.99667444,40.76341379,2013-09-07
133,Tue,17,388,-74.00295035,40.74971775,2013-09-17
134,Wed,1,432,-73.98379855,40.72621788,2013-09-04
135,Sun,8,318,-73.9779874,40.75320159,2013-09-08
136,Tue,10,174,-73.97738662,40.7381765,2013-09-10
137,Fri,19,347,-74.00748842,40.72873888,2013-09-27
138,Sun,8,2017,-73.97121414,40.75022392,2013-09-15
139,Tue,18,301,-73.98368779,40.72217444,2013-09-24
140,Fri,13,290,-73.96478473,40.76020258,2013-09-27
141,Fri,23,490,-73.993934,40.751551,2013-09-13
142,Tue,17,426,-74.01322069,40.71754834,2013-09-03
143,Wed,18,490,-73.993934,40.751551,2013-09-11
144,Mon,9,426,-74.01322069,40.71754834,2013-09-23
145,Wed,18,498,-73.98808416,40.74854862,2013-09-11
146,Fri,12,343,-73.96986848,40.69794,2013-09-20
147,Thu,11,375,-73.99695094,40.72679454,2013-09-26
148,Thu,18,293,-73.9907647,40.73028666,2013-09-26
149,Fri,13,128,-74.00297088,40.72710258,2013-09-13
150,Fri,7,236,-73.98713956,40.7284186,2013-09-13
151,Fri,19,2021,-73.98859651,40.75929124,2013-09-27
152,Fri,17,368,-74.00214988,40.73038599,2013-09-20
153,Mon,17,337,-74.00838676,40.7037992,2013-09-23
154,Sat,7,323,-73.98631746,40.69236178,2013-09-28
155,Sat,14,290,-73.96478473,40.76020258,2013-09-07
156,Fri,16,116,-74.00149746,40.74177603,2013-09-27
157,Mon,21,347,-74.00748842,40.72873888,2013-09-16
158,Fri,11,330,-74.00562789,40.71450451,2013-09-27
159,Sat,13,545,-73.97809472,40.736502,2013-09-07
160,Tue,8,490,-73.993934,40.751551,2013-09-24
161,Mon,9,472,-73.98194829,40.7457121,2013-09-23
162,Sun,12,339,-73.97422494,40.72580614,2013-09-29
163,Wed,8,442,-73.993915,40.746647,2013-09-18
164,Fri,11,327,-74.01658354,40.7153379,2013-09-13
165,Wed,18,537,-73.98409214,40.74025878,2013-09-04
166,Sat,18,415,-74.00926027,40.7047177,2013-09-28
167,Tue,9,394,-73.97768752,40.72521311,2013-09-10
168,Thu,11,361,-73.99190759,40.71605866,2013-09-19
169,Thu,0,489,-74.00176802,40.75066386,2013-09-05
170,Thu,11,518,-73.9734419,40.74780373,2013-09-26
171,Wed,8,168,-73.99456405,40.73971301,2013-09-11
172,Tue,18,228,-73.97187886,40.7546011,2013-09-24
173,Sun,12,486,-73.98855723,40.7462009,2013-09-08
174,Tue,11,517,-73.97798848,40.75149263,2013-09-17
175,Mon,19,477,-73.9900262,40.75640548,2013-09-09
176,Sat,10,483,-73.98889957,40.73223272,2013-09-07
177,Tue,12,368,-74.00214988,40.73038599,2013-09-17
178,Wed,16,317,-73.98185424,40.72453734,2013-09-18
179,Mon,14,342,-73.98016555,40.71739973,2013-09-09
180,Mon,6,494,-73.99723551,40.74734825,2013-09-23
181,Sun,19,402,-73.98955109,40.7403432,2013-09-29
182,Wed,18,447,-73.9851615,40.76370739,2013-09-04
183,Tue,10,391,-73.99344559,40.69760127,2013-09-24
184,Sun,14,274,-73.976682,40.68691865,2013-09-29
185,Tue,21,143,-73.99337909,40.69239502,2013-09-10
186,Fri,19,116,-74.00149746,40.74177603,2013-09-20
187,Mon,17,285,-73.99074142,40.73454567,2013-09-09
188,Fri,17,326,-73.98426726,40.72953837,2013-09-06
189,Wed,10,507,-73.97973776,40.73912601,2013-09-11
190,Tue,8,253,-73.99453948,40.73543934,2013-09-17
191,Sat,17,473,-73.9919254,40.72110063,2013-09-28
192,Tue,8,473,-73.9919254,40.72110063,2013-09-17
193,Mon,15,524,-73.98316936,40.75527307,2013-09-09
194,Tue,7,457,-73.98169333,40.76695317,2013-09-03
195,Sat,10,147,-74.01121978,40.71542197,2013-09-14
196,Thu,17,315,-74.00670227,40.70355377,2013-09-26
197,Thu,17,2006,-73.97634151,40.76590936,2013-09-05
198,Thu,19,128,-74.00297088,40.72710258,2013-09-12
199,Fri,12,347,-74.00748842,40.72873888,2013-09-13
200,Sun,9,435,-73.99415556,40.74173969,2013-09-22
201,Wed,12,253,-73.99453948,40.73543934,2013-09-18
202,Sat,15,504,-73.98165557,40.73221853,2013-09-14
203,Tue,20,464,-73.96759673,40.75934501,2013-09-10
204,Wed,23,463,-74.00443172,40.74206539,2013-09-18
205,Sat,12,319,-74.00937622,40.71336124,2013-09-28
206,Sat,3,157,-73.99612349,40.69089272,2013-09-14
207,Sun,0,285,-73.99074142,40.73454567,2013-09-08
208,Sun,15,151,-73.99720307,40.7218158,2013-09-15
209,Sun,12,284,-74.00263761,40.73901691,2013-09-29
210,Tue,9,404,-74.00550867,40.7405826,2013-09-24
211,Sat,21,504,-73.98165557,40.73221853,2013-09-28
212,Sun,19,303,-73.99949601,40.72362738,2013-09-15
213,Thu,17,448,-73.9979009,40.75660359,2013-09-19
214,Mon,12,322,-73.991218,40.696192,2013-09-16
215,Wed,22,309,-74.013012,40.7149787,2013-09-04
216,Mon,9,472,-73.98194829,40.7457121,2013-09-09
217,Mon,18,357,-73.99158043,40.73261787,2013-09-16
218,Thu,18,475,-73.98758561,40.73524276,2013-09-12
219,Sat,23,247,-74.00483091,40.73535398,2013-09-28
220,Tue,15,455,-73.96905301,40.75001986,2013-09-17
221,Wed,8,536,-73.97536082,40.74144387,2013-09-11
222,Tue,7,459,-74.007756,40.746745,2013-09-10
223,Tue,20,462,-74.00451887,40.74691959,2013-09-24
224,Sun,15,265,-73.99147535,40.72229346,2013-09-22
225,Fri,17,515,-73.99461843,40.76009437,2013-09-06
226,Tue,17,379,-73.9916,40.749156,2013-09-03
227,Tue,7,369,-74.00026394,40.73224119,2013-09-24
228,Fri,18,454,-73.96592976,40.75455731,2013-09-06
229,Tue,17,527,-73.97434726,40.74315566,2013-09-03
230,Wed,22,540,-73.98320928,40.74147286,2013-09-04
231,Fri,8,391,-73.99344559,40.69760127,2013-09-13
232,Fri,18,453,-73.99915362,40.74475148,2013-09-06
233,Tue,17,127,-74.00674436,40.73172428,2013-09-10
234,Mon,15,457,-73.98169333,40.76695317,2013-09-09
235,Sat,10,450,-73.98788205,40.76227205,2013-09-07
236,Mon,6,405,-74.008119,40.739323,2013-09-16
237,Tue,15,505,-73.98848395,40.74901271,2013-09-24
238,Mon,10,362,-73.98753523,40.75172632,2013-09-02
239,Tue,16,267,-73.98765428,40.75097711,2013-09-17
240,Fri,13,305,-73.96724467,40.76095756,2013-09-27
241,Thu,18,538,-73.97787642,40.75795248,2013-09-12
242,Tue,8,433,-73.98057249,40.72955361,2013-09-03
243,Wed,10,339,-73.97422494,40.72580614,2013-09-11
244,Fri,12,496,-73.99238967,40.73726186,2013-09-06
245,Thu,17,458,-74.005226,40.751396,2013-09-05
246,Sun,13,483,-73.98889957,40.73223272,2013-09-08
247,Sun,15,361,-73.99190759,40.71605866,2013-09-08
248,Thu,17,496,-73.99238967,40.73726186,2013-09-05
249,Mon,14,442,-73.993915,40.746647,2013-09-30
250,Wed,14,433,-73.98057249,40.72955361,2013-09-11
251,Tue,6,360,-74.00887308,40.70717936,2013-09-17
252,Sat,18,296,-73.9970468,40.71413089,2013-09-21
253,Wed,17,463,-74.00443172,40.74206539,2013-09-04
254,Thu,10,251,-73.99480012,40.72317958,2013-09-05
255,Tue,9,376,-74.00722156,40.70862144,2013-09-03
256,Sat,18,212,-74.00681753,40.74334935,2013-09-28
