,trip_duration,trip_duration_count,avg_start_hour,avg_birth,clusters,cluster
0,1,402,14.447761194029852,1977.68407960199,1,pink
1,2,1010,13.623762376237623,1976.229702970297,3,dark purple
2,3,1879,13.81160191591272,1976.583288983502,0,light pink
3,4,2622,13.718535469107552,1976.285659801678,2,purple
4,5,3060,13.889869281045751,1976.164705882353,2,purple
5,6,3052,13.790956749672347,1975.8263433813893,2,purple
6,7,3036,13.973978919631094,1975.7654808959157,2,purple
7,8,2875,14.041739130434783,1976.0006956521738,2,purple
8,9,2674,13.915482423335826,1975.7146596858638,2,purple
9,10,2400,13.9675,1975.6316666666667,2,purple
10,11,2123,14.042863871879415,1975.805934997645,0,light pink
11,12,1835,14.076839237057222,1975.5961852861035,0,light pink
12,13,1658,13.985524728588661,1975.357056694813,0,light pink
13,14,1439,14.215427380125087,1975.2376650451702,0,light pink
14,15,1361,14.203526818515797,1975.2468772961058,0,light pink
15,16,1242,14.339774557165862,1975.9669887278583,0,light pink
16,17,1057,14.189214758751183,1975.9697256385998,3,dark purple
17,18,932,14.34549356223176,1975.8937768240344,3,dark purple
18,19,834,14.55515587529976,1975.667865707434,3,dark purple
19,20,752,14.44813829787234,1974.9215425531916,3,dark purple
20,21,732,14.359289617486338,1975.0928961748634,3,dark purple
21,22,647,14.731066460587327,1975.1035548686243,3,dark purple
22,23,594,14.372053872053872,1974.949494949495,3,dark purple
23,24,512,14.287109375,1974.744140625,1,pink
24,25,430,14.488372093023257,1974.9441860465117,1,pink
25,26,413,14.905569007263923,1974.181598062954,1,pink
26,27,368,14.633152173913043,1975.1385869565217,1,pink
27,28,309,14.78640776699029,1975.0906148867314,1,pink
28,29,304,14.088815789473685,1975.3190789473683,1,pink
29,30,286,14.828671328671328,1974.7167832167831,1,pink
30,31,221,14.53393665158371,1975.2760180995474,1,pink
31,32,228,14.763157894736842,1975.0964912280701,1,pink
32,33,188,14.835106382978724,1974.1648936170213,1,pink
33,34,170,14.376470588235295,1974.0176470588235,1,pink
34,35,163,14.349693251533742,1974.9018404907974,1,pink
35,36,137,14.627737226277372,1974.1678832116788,1,pink
36,37,107,14.700934579439252,1974.5700934579438,1,pink
37,38,93,14.010752688172044,1972.978494623656,1,pink
38,39,94,14.159574468085106,1972.468085106383,1,pink
39,40,80,15.5125,1974.3875,1,pink
40,41,64,14.640625,1972.96875,1,pink
41,42,65,14.523076923076923,1972.4307692307693,1,pink
42,43,62,15.693548387096774,1973.3548387096773,1,pink
43,44,480,14.372916666666667,1974.4041666666667,1,pink
